ID,Title,Date_Display,Year_Numeric,Level,Source,Description
Q323,"Big Bang",13787000000 BCE,-13787000000,2,WIKIDATA,"hypothetical begin of the Universe through expansion out of an infinitely small and infinitely dense state"
earth-forms,"Formation of Earth",4.5 Billion Years Ago,-4500000000,1,CURATED,"Gravity pulls swirling gas and dust into the third planet from the sun. Earth begins as a molten inferno, eventually cooling to form the solid crust, atmosphere, and vast oceans that would eventually cradle life."
life-begins,"The Spark of Life",3.5 Billion Years Ago,-3500000000,1,CURATED,"Deep in fossilized hydrothermal vents, simple prokaryotes begin a multibillion-year journey. This transition from chemistry to biology marks the most profound shift in the history of the planet."
dinosaurs,"The Age of Dinosaurs",230 – 66 Million BCE,-230000000,1,CURATED,"From the Triassic to the Cretaceous, dinosaurs were the undisputed masters of Earth. Their vast reign ended in fire and dust with the Chicxulub asteroid impact, clearing the path for the rise of mammals."
homo-sapiens,"Rise of Homo Sapiens",300,000 BCE,-300000,1,CURATED,"Equipped with cognitive capacity for language, art, and complex tools, Homo sapiens begin migrating across the planet, eventually outlasting all other hominid species through innovation and social structure."
agriculture,"Agricultural Revolution",10,000 BCE,-10000,1,CURATED,"In the Fertile Crescent, humans begin domesticating plants and animals. This Neolithic shift leads to permanent settlements, surplus food, and the eventual rise of specialized labor and social hierarchies."
Q333,"astronomy",8000 BCE,-8000,1,WIKIDATA,"natural science studying celestial objects and phenomena in the cosmos"
egyptians,"Empire of the Nile",3100 BCE,-3100,1,CURATED,"Pharaoh Narmer unites the Nile Valley, initiating a civilization that would build pyramids, develop hieroglyphics, and endure for three millennia."
Q10261,"Pythagoras",582 BCE,-582,1,WIKIDATA,"Greek philosopher and mathematician (c. 570 – c. 495 BC)"
Q9333,"Laozi",579 BCE,-579,1,WIKIDATA,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism"
Q4604,"Confucius",550 BCE,-550,1,WIKIDATA,"5th-century BCE Chinese philosopher and politician"
Q9441,"The Buddha",500 BCE,-500,1,WIKIDATA,"Indian philosopher and the founder of Buddhism (623 or 563 BCE – 543 or 483 BCE)"
Q7235,"Sophocles",495 BCE,-495,1,WIKIDATA,"ancient Greek playwright"
Q913,"Socrates",469 BCE,-469,1,WIKIDATA,"5th-century BCE Greek philosopher"
Q859,"Plato",428 BCE,-428,1,WIKIDATA,"4th-century BCE Greek philosopher"
Q868,"Aristotle",383 BCE,-383,1,WIKIDATA,"4th-century BCE Classical Greek philosopher and polymath"
Q8409,"Alexander the Great",355 BCE,-355,1,WIKIDATA,"king of Macedonia and conqueror of Achaemenid Persia (356–323 BC)"
Q8747,"Euclid",333 BCE,-333,1,WIKIDATA,"ancient Greek mathematician (fl. 300 BC)"
Q8739,"Archimedes",286 BCE,-286,1,WIKIDATA,"Greek mathematician and physicist (c. 287 – c. 212 BC)"
Q7192,"Qin Shi Huang",258 BCE,-258,1,WIKIDATA,"first emperor of Qin Dynasty"
Q1541,"Cicero",106 BCE,-106,1,WIKIDATA,"Roman statesman, lawyer, orator, and philosopher (106–43 BC)"
Q1048,"Julius Caesar",99 BCE,-99,1,WIKIDATA,"Roman general and dictator"
Q1405,"Augustus",62 BCE,-62,1,WIKIDATA,"first emperor of the Roman Empire and founder of the Julio-Claudian dynasty"
