id,event_name,category,subcategory,era,region,location,start_date,end_date,year_numeric,description,significance
1,Big Bang,Cosmology,Universe Formation,Cosmological Era,Universe,Universe,-13800000000,-13800000000,-13800000000,Origin of the universe from rapid expansion,"Beginning of space, time, matter"
2,Formation of Earth,Geological Formation,Planet Formation,Geological Era,Solar System,Earth,-4540000000,-4540000000,-4540000000,Earth forms from solar nebula,Beginning of Earth's planetary history
3,First Life on Earth,Evolutionary Biology,Microbial Life,Geological Era,Earth,Earth,-3500000000,-3500000000,-3500000000,Earliest microbial life emerges,Start of biological evolution
4,Rise of Homo sapiens,Early Humanity,Human Evolution,Prehistoric Humanity,Africa,Africa,-300000,-300000,-300000,Modern humans appear,Beginning of modern humans
5,Agricultural Revolution,Civilization,Agriculture,Early Civilizations,Middle East,Fertile Crescent,-10000,-8000,-10000,Development of farming societies,Transition from hunter-gatherers
6,Great Pyramid of Giza Constructed,Civilization,Monument,Early Civilizations,Egypt,Giza,-2580,-2560,-2580,Construction of Khufu's pyramid,Symbol of Egyptian power
7,Founding of Rome,Civilization,City Founding,Classical Age,Italy,Rome,-753,-753,-753,Legendary founding of Rome,Start of Roman civilization
8,Fall of Western Roman Empire,Political Transformation,Empire Collapse,Post-Classical,Europe,Rome,476,476,476,Deposition of Romulus Augustulus,End of Western Roman rule
9,Columbus Reaches Americas,Exploration,Age of Exploration,Early Modern,Atlantic,Americas,1492,1492,1492,Voyage of Columbus,Beginning of sustained European contact
10,American Declaration of Independence,Political Transformation,Independence,Early Modern,United States,Philadelphia,1776,1776,1776,Colonies declare independence,Birth of the United States
11,Industrial Revolution Begins,Technological Innovation,Industrialization,Industrial Era,Europe,Britain,1760,1840,1760,Mechanization of industry,Transforms global economy
12,World War I,War,Global War,Industrial Era,Global,Multiple,1914,1918,1914,Major global conflict,Collapse of empires
13,World War II,War,Global War,Industrial Era,Global,Multiple,1939,1945,1939,Largest war in history,Reshaped global order
14,Apollo 11 Moon Landing,Scientific Breakthrough,Space Exploration,Contemporary,United States,Moon,1969,1969,1969,First humans land on the Moon,Major milestone in space exploration
15,Fall of the Berlin Wall,Political Transformation,Cold War,Contemporary,Germany,Berlin,1989,1989,1989,Opening of East/West Berlin border,Symbolic end of Cold War division
16,September 11 Attacks,Terrorism,Terrorist Attack,Contemporary,United States,New York,2001,2001,2001,Coordinated terrorist attacks,Triggered global War on Terror
